Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,EMPTY
14874-8718,LW,Alexander,Ovechkin,5.38852459,61,10600,WAS@BOS,WAS,BOS,,
14874-9416,G,Braden,Holtby,5.357692308,52,9400,WAS@BOS,WAS,BOS,,
14874-8883,G,Ben,Bishop,4.845833333,48,9300,CAR@TB,TB,CAR,,
14874-8193,G,Tuukka,Rask,4.764,50,9100,WAS@BOS,BOS,WAS,,
14874-8712,G,Roberto,Luongo,4.956,50,8900,FLA@ARI,FLA,ARI,,
14874-9278,G,Martin,Jones,4.666666667,54,8700,VAN@SJ,SJ,VAN,,
14874-9302,G,Michal,Neuvirth,4.966666667,30,8600,CLS@PHI,PHI,CLS,,
14874-8655,C,Steven,Stamkos,3.434375,64,8600,CAR@TB,TB,CAR,,
14874-8292,G,Craig,Anderson,4.892307692,52,8500,OTT@TOR,OTT,TOR,DTD,
14874-8212,G,Ryan,Miller,4.10952381,42,8300,VAN@SJ,VAN,SJ,,
14874-8763,LW,Brad,Marchand,4.253333333,60,8200,WAS@BOS,BOS,WAS,,
14874-54565,G,Andrei,Vasilevskii,4.588888889,18,8200,CAR@TB,TB,CAR,,
14874-54065,G,Joonas,Korpisalo,4.641666667,24,8200,CLS@PHI,CLS,PHI,,
14874-12163,G,Sergei,Bobrovsky,3.896296296,27,8000,CLS@PHI,CLS,PHI,IR,
14874-8556,C,Claude,Giroux,3.504166667,60,8000,CLS@PHI,PHI,CLS,,
14874-8615,RW,Joe,Pavelski,4.123809524,63,7900,VAN@SJ,SJ,VAN,,
14874-8312,G,Steve,Mason,4.172972973,37,7800,CLS@PHI,PHI,CLS,,
14874-8175,C,Patrice,Bergeron,4.067460317,63,7700,WAS@BOS,BOS,WAS,,
14874-12697,G,Philipp,Grubauer,3.9625,16,7700,WAS@BOS,WAS,BOS,,
14874-8698,LW,Daniel,Sedin,3.936507937,63,7600,VAN@SJ,VAN,SJ,,
14874-8303,RW,Jakub,Voracek,3.188333333,60,7500,CLS@PHI,PHI,CLS,O,
14874-8426,D,Brent,Burns,4.087301587,63,7500,VAN@SJ,SJ,VAN,,
14874-8404,RW,Wayne,Simmonds,3.299206349,63,7400,CLS@PHI,PHI,CLS,,
14874-8593,G,Al,Montoya,4.244444444,18,7400,FLA@ARI,FLA,ARI,,
14874-52475,C,Evgeny,Kuznetsov,3.995238095,63,7200,WAS@BOS,WAS,BOS,,
14874-62666,G,Matthew,O'Connor,3.2,1,7200,OTT@TOR,OTT,TOR,,
14874-39844,G,Mike,Condon,3.311627907,43,7200,MON@WPG,MON,WPG,,
14874-8797,LW,James,van Riemsdyk,3.315,40,7100,OTT@TOR,TOR,OTT,IR,
14874-8264,D,Dustin,Byfuglien,3.367460317,63,7100,MON@WPG,WPG,MON,,
14874-9269,C,Logan,Couture,3.254545455,33,7100,VAN@SJ,SJ,VAN,,
14874-11370,G,Eddie,Lack,3.511111111,27,7100,CAR@TB,CAR,TB,,
14874-8551,D,Erik,Karlsson,3.806153846,65,7100,OTT@TOR,OTT,TOR,,
14874-8672,G,Mike,Smith,3.672727273,22,7100,FLA@ARI,ARI,FLA,IR,
14874-11184,G,Richard,Bachman,5.6,1,7000,VAN@SJ,VAN,SJ,,
14874-12093,G,Ben,Scrivens,3.2,10,7000,MON@WPG,MON,WPG,,
14874-8182,RW,Blake,Wheeler,3.632539683,63,7000,MON@WPG,WPG,MON,,
14874-38930,G,Andrew,Hammond,2.973333333,15,6900,OTT@TOR,OTT,TOR,,
14874-8252,G,Cam,Ward,3.561904762,42,6900,CAR@TB,CAR,TB,,
14874-14483,G,Louis,Domingue,3.903225806,31,6900,FLA@ARI,ARI,FLA,,
14874-12283,G,Jacob,Markstrom,3.913043478,23,6800,VAN@SJ,VAN,SJ,,
14874-8441,LW,Max,Pacioretty,3.252307692,65,6800,MON@WPG,MON,WPG,,
14874-8776,G,Ondrej,Pavelec,3.02,20,6700,MON@WPG,WPG,MON,,
14874-8714,C,Nicklas,Backstrom,3.606666667,60,6700,WAS@BOS,WAS,BOS,,
14874-9266,LW,Brayden,Schenn,2.902459016,61,6700,CLS@PHI,PHI,CLS,DTD,
14874-8693,G,Jonas,Gustavsson,3.926315789,19,6700,WAS@BOS,BOS,WAS,,
14874-8614,C,Joe,Thornton,3.482539683,63,6700,VAN@SJ,SJ,VAN,,
14874-9052,G,James,Reimer,3.96875,32,6600,VAN@SJ,SJ,VAN,,
14874-8780,G,Jonathan,Bernier,3.020689655,29,6500,OTT@TOR,TOR,OTT,,
14874-15258,G,Garret,Sparks,4.114285714,7,6500,OTT@TOR,TOR,OTT,,
14874-15283,C,Vincent,Trocheck,2.734375,64,6500,FLA@ARI,FLA,ARI,,
14874-38243,G,Anthony,Stolarz,0,0,6500,CLS@PHI,PHI,CLS,,
14874-68599,G,Nathan,Schoenfeld,0,0,6500,FLA@ARI,ARI,FLA,,
14874-13612,C,Tyler,Johnson,2.482352941,51,6500,CAR@TB,TB,CAR,,
14874-66613,G,Niklas,Treutle,-1,2,6500,FLA@ARI,ARI,FLA,,
14874-43214,RW,Nikita,Kucherov,3.414516129,62,6500,CAR@TB,TB,CAR,,
14874-51834,G,Daniel,Altshuller,0,0,6500,CAR@TB,CAR,TB,,
14874-15321,C,Mark,Scheifele,3.269230769,52,6400,MON@WPG,WPG,MON,,
14874-14126,G,Allan,York,0,0,6400,CAR@TB,TB,CAR,,
14874-40023,G,Anton,Forsberg,2.9,4,6400,CLS@PHI,CLS,PHI,,
14874-12240,G,Edward,Pasquale,0,0,6400,MON@WPG,MON,WPG,,
14874-8233,G,Curtis,McElhinney,2.011764706,17,6400,CLS@PHI,CLS,PHI,,
14874-58909,G,Connor,Hellebuyck,4.323076923,26,6300,MON@WPG,WPG,MON,,
14874-43219,G,Kristers,Gudlevskis,5.2,1,6300,CAR@TB,TB,CAR,,
14874-9252,G,Alex,Stalock,2.030769231,13,6200,OTT@TOR,TOR,OTT,,
14874-11294,G,Michael,Hutchinson,3.1,24,6200,MON@WPG,WPG,MON,,
14874-41393,C,Aleksander,Barkov,3.48125,48,6200,FLA@ARI,FLA,ARI,,
14874-8741,C,Nazem,Kadri,2.895901639,61,6100,OTT@TOR,TOR,OTT,,
14874-15251,LW,Boone,Jenner,2.77890625,64,6100,CLS@PHI,CLS,PHI,,
14874-9107,D,P.K.,Subban,3.23,65,6100,MON@WPG,MON,WPG,,
14874-8241,LW,Jussi,Jokinen,2.809375,64,6100,FLA@ARI,FLA,ARI,,
14874-15315,LW,Ondrej,Palat,2.097727273,44,6000,CAR@TB,TB,CAR,,
14874-15217,RW,Jonathan,Huberdeau,2.840677966,59,6000,FLA@ARI,FLA,ARI,IR,
14874-9058,LW,Matt,Beleskey,2.519047619,63,6000,WAS@BOS,BOS,WAS,,
14874-12244,D,Oliver,Ekman-Larsson,3.3171875,64,6000,FLA@ARI,ARI,FLA,,
14874-8539,LW,Nick,Foligno,2.450909091,55,6000,CLS@PHI,CLS,PHI,,
14874-15306,RW,Brendan,Gallagher,3.554166667,48,5900,MON@WPG,MON,WPG,,
14874-12628,RW,Mark,Stone,2.815873016,63,5900,OTT@TOR,OTT,TOR,,
14874-8669,D,Victor,Hedman,2.688888889,63,5900,CAR@TB,TB,CAR,,
14874-8694,C,Henrik,Sedin,2.764912281,57,5900,VAN@SJ,VAN,SJ,,
14874-21648,D,Torey,Krug,2.56328125,64,5800,WAS@BOS,BOS,WAS,,
14874-12252,G,Anders,Lindback,2.484210526,19,5800,FLA@ARI,ARI,FLA,IR,
14874-21523,LW,Alex,Killorn,2.242857143,63,5800,CAR@TB,TB,CAR,,
14874-8515,C,Brandon,Dubinsky,2.651754386,57,5800,CLS@PHI,CLS,PHI,,
14874-8520,RW,Ryan,Callahan,2.112698413,63,5800,CAR@TB,TB,CAR,,
14874-14561,RW,Jaromir,Jagr,3.129508197,61,5800,FLA@ARI,FLA,ARI,,
14874-41592,LW,Max,Domi,2.6453125,64,5700,FLA@ARI,ARI,FLA,,
14874-14056,RW,Cam,Atkinson,2.761904762,63,5700,CLS@PHI,CLS,PHI,,
14874-8436,C,Tomas,Plekanec,2.772307692,65,5700,MON@WPG,MON,WPG,,
14874-12439,LW,Jeff,Skinner,2.74,65,5700,CAR@TB,CAR,TB,,
14874-15280,RW,Brandon,Saad,2.814285714,63,5600,CLS@PHI,CLS,PHI,,
14874-8562,RW,Scott,Hartnell,2.841935484,62,5600,CLS@PHI,CLS,PHI,,
14874-8176,C,David,Krejci,3.241818182,55,5500,WAS@BOS,BOS,WAS,,
14874-8635,RW,T.J.,Oshie,2.89047619,63,5500,WAS@BOS,WAS,BOS,,
14874-8811,RW,Jannik,Hansen,2.559649123,57,5400,VAN@SJ,VAN,SJ,O,
14874-14178,D,Justin,Faulk,2.715454545,55,5400,CAR@TB,CAR,TB,DTD,
14874-12494,RW,Jiri,Hudler,2.178703704,54,5400,FLA@ARI,FLA,ARI,DTD,
14874-8596,C,Jordan,Staal,2.395384615,65,5400,CAR@TB,CAR,TB,,
14874-40036,LW,Tomas,Hertl,2.717741935,62,5300,VAN@SJ,SJ,VAN,,
14874-9259,LW,Mike,Hoffman,3.254098361,61,5300,OTT@TOR,OTT,TOR,,
14874-14565,C,Mika,Zibanejad,2.3921875,64,5300,OTT@TOR,OTT,TOR,,
14874-8628,D,Marc-Edouard,Vlasic,2.4575,60,5300,VAN@SJ,SJ,VAN,,
14874-12220,C,Marcus,Johansson,2.707272727,55,5200,WAS@BOS,WAS,BOS,,
14874-39249,C,Nick,Bjugstad,2.215306122,49,5200,FLA@ARI,FLA,ARI,,
14874-8162,C,Bryan,Little,2.592982456,57,5200,MON@WPG,WPG,MON,O,
14874-8403,RW,Justin,Williams,3.16031746,63,5200,WAS@BOS,WAS,BOS,,
14874-8619,LW,Patrick,Marleau,2.504761905,63,5200,VAN@SJ,SJ,VAN,,
14874-15287,C,Jean-Gabriel,Pageau,2.044615385,65,5100,OTT@TOR,OTT,TOR,,
14874-8932,LW,Zack,Smith,1.8890625,64,5100,OTT@TOR,OTT,TOR,,
14874-9015,D,John,Carlson,2.746808511,47,5100,WAS@BOS,WAS,BOS,IR,
14874-12667,C,Ryan,Spooner,2.59765625,64,5100,WAS@BOS,BOS,WAS,,
14874-8578,RW,Shane,Doan,3.233636364,55,5100,FLA@ARI,ARI,FLA,,
14874-23233,LW,Alex,Galchenyuk,2.530769231,65,5100,MON@WPG,MON,WPG,,
14874-8918,D,Anton,Stralman,2.1875,64,5000,CAR@TB,TB,CAR,,
14874-15308,C,Sean,Couturier,2.328888889,45,4900,CLS@PHI,PHI,CLS,,
14874-54521,D,Shayne,Gostisbehere,3.113333333,45,4900,CLS@PHI,PHI,CLS,,
14874-21689,RW,Reilly,Smith,2.64375,64,4900,FLA@ARI,FLA,ARI,,
14874-8322,LW,Loui,Eriksson,3.064615385,65,4800,WAS@BOS,BOS,WAS,,
14874-42833,LW,Andre,Burakovsky,2.018333333,60,4700,WAS@BOS,WAS,BOS,,
14874-58907,LW,Nikolaj,Ehlers,2.256349206,63,4700,MON@WPG,WPG,MON,DTD,
14874-8300,LW,Jason,Chimera,2.346031746,63,4700,WAS@BOS,WAS,BOS,,
14874-8575,C,Martin,Hanzal,2.58627451,51,4700,FLA@ARI,ARI,FLA,,
14874-55607,D,Aaron,Ekblad,2.439166667,60,4600,FLA@ARI,FLA,ARI,,
14874-8833,RW,Pierre,Parenteau,2.463333333,60,4500,OTT@TOR,TOR,OTT,DTD,
14874-8268,D,Brian,Campbell,1.8984375,64,4500,FLA@ARI,FLA,ARI,,
14874-9305,LW,Mathieu,Perreault,2.167741935,62,4500,MON@WPG,WPG,MON,,
14874-8228,D,Dion,Phaneuf,2.186290323,62,4500,OTT@TOR,OTT,TOR,,
14874-43120,RW,Anthony,Duclair,2.13968254,63,4500,FLA@ARI,ARI,FLA,,
14874-8709,D,Alexander,Edler,1.892307692,52,4400,VAN@SJ,VAN,SJ,IR,
14874-8138,RW,Bobby,Ryan,2.7828125,64,4400,OTT@TOR,OTT,TOR,,
14874-8328,D,Matt,Niskanen,2.077777778,63,4400,WAS@BOS,WAS,BOS,,
14874-8538,RW,Milan,Michalek,1.684375,32,4400,OTT@TOR,TOR,OTT,IR,
14874-9077,C,Kyle,Turris,2.084210526,57,4300,OTT@TOR,OTT,TOR,O,
14874-8972,C,Tyler,Bozak,2.425531915,47,4300,OTT@TOR,TOR,OTT,IR,
14874-8446,D,Andrei,Markov,1.867692308,65,4300,MON@WPG,MON,WPG,,
14874-8506,D,Mark,Streit,1.772727273,44,4300,CLS@PHI,PHI,CLS,,
14874-13472,D,Dmitry,Orlov,1.682539683,63,4300,WAS@BOS,WAS,BOS,,
14874-8659,LW,Alex,Tanguay,1.521153846,52,4300,FLA@ARI,ARI,FLA,DTD,
14874-15313,C,Vladislav,Namestnikov,1.935483871,62,4200,CAR@TB,TB,CAR,,
14874-8186,D,Zdeno,Chara,2.366666667,63,4200,WAS@BOS,BOS,WAS,,
14874-8203,RW,Drew,Stafford,2.149152542,59,4200,MON@WPG,WPG,MON,,
14874-8211,D,Tyler,Myers,1.965079365,63,4200,MON@WPG,WPG,MON,,
14874-8336,C,Valtteri,Filppula,1.6359375,64,4200,CAR@TB,TB,CAR,,
14874-41394,D,Seth,Jones,1.611111111,63,4200,CLS@PHI,CLS,PHI,,
14874-8583,RW,Radim,Vrbata,1.907017544,57,4200,VAN@SJ,VAN,SJ,O,
14874-15247,C,Victor,Rask,2.333333333,63,4100,CAR@TB,CAR,TB,,
14874-9043,D,Jakub,Kindl,1.357692308,26,4100,FLA@ARI,FLA,ARI,,
14874-9990,RW,Lars,Eller,1.492307692,65,4100,MON@WPG,MON,WPG,,
14874-39271,RW,Seth,Griffith,-0.75,2,4100,WAS@BOS,BOS,WAS,,
14874-39245,D,Jacob,Trouba,1.53015873,63,4100,MON@WPG,WPG,MON,DTD,
14874-8237,C,Brandon,Sutter,2.25,20,4100,VAN@SJ,VAN,SJ,IR,
14874-42417,LW,Jonathan,Drouin,1.505263158,19,4100,CAR@TB,TB,CAR,O,
14874-23054,RW,Leo,Komarov,2.385,60,4100,OTT@TOR,TOR,OTT,,
14874-8683,RW,Lee,Stempniak,2.613846154,65,4100,WAS@BOS,BOS,WAS,,
14874-8999,D,Matt,Lashoff,0,0,4000,MON@WPG,MON,WPG,,
14874-8397,C,Brad,Richardson,1.6625,64,4000,FLA@ARI,ARI,FLA,,
14874-8400,RW,Teddy,Purcell,2.05,62,4000,FLA@ARI,FLA,ARI,DTD,
14874-41390,RW,Elias,Lindholm,1.86,65,4000,CAR@TB,CAR,TB,,
14874-8518,RW,Christopher,Higgins,0.504,25,4000,VAN@SJ,VAN,SJ,,
14874-8459,RW,Joel,Ward,2.239344262,61,4000,VAN@SJ,SJ,VAN,,
14874-59218,RW,David,Pastrnak,2.35,34,3900,WAS@BOS,BOS,WAS,,
14874-54743,C,Alexander,Wennberg,1.671153846,52,3900,CLS@PHI,CLS,PHI,,
14874-12952,D,Jake,Gardiner,1.58,60,3900,OTT@TOR,TOR,OTT,,
14874-8356,RW,Sam,Gagner,1.560294118,34,3900,CLS@PHI,PHI,CLS,,
14874-12299,D,David,Savard,1.418085106,47,3900,CLS@PHI,CLS,PHI,,
14874-14478,RW,Andrej,Nestrasil,1.890909091,55,3900,CAR@TB,CAR,TB,O,
14874-8484,RW,David,Clarkson,0.465789474,19,3900,CLS@PHI,CLS,PHI,,
14874-8607,D,Brooks,Orpik,1.782608696,23,3900,WAS@BOS,WAS,BOS,,
14874-12449,RW,Brett,Connolly,1.527419355,62,3900,WAS@BOS,BOS,WAS,,
14874-40039,LW,Michael,Raffl,1.484126984,63,3800,CLS@PHI,PHI,CLS,,
14874-21710,RW,J.T.,Brown,1.999166667,60,3800,CAR@TB,TB,CAR,,
14874-12094,D,Kevin,Connauton,1.695744681,47,3800,FLA@ARI,ARI,FLA,,
14874-37883,D,Cody,Ceci,1.537931034,58,3800,OTT@TOR,OTT,TOR,,
14874-37968,LW,Jonathan,Audy-Marchessault,1.717647059,34,3700,CAR@TB,TB,CAR,,
14874-15255,LW,Josh,Leivo,2.511111111,9,3700,OTT@TOR,TOR,OTT,,
14874-39146,LW,Tobias,Rieder,2.025,64,3700,FLA@ARI,ARI,FLA,,
14874-15270,LW,Sven,Baertschi,1.598181818,55,3700,VAN@SJ,VAN,SJ,,
14874-21755,RW,Alex,Chiasson,1.1,60,3700,OTT@TOR,OTT,TOR,,
14874-9104,C,David,Desharnais,1.642105263,57,3700,MON@WPG,MON,WPG,IR,
14874-12611,D,Alexander,Petrovic,1.26372549,51,3700,FLA@ARI,FLA,ARI,,
14874-8434,C,Scott,Gomez,0.922727273,22,3700,OTT@TOR,OTT,TOR,,
14874-8569,D,Matt,Carle,0.6125,48,3700,CAR@TB,TB,CAR,,
14874-59413,RW,Jake,Virtanen,1.559210526,38,3700,VAN@SJ,VAN,SJ,,
14874-8642,LW,Brad,Boyes,1.64,50,3700,OTT@TOR,TOR,OTT,DTD,
14874-8746,LW,Matt,Calvert,1.34,55,3600,CLS@PHI,CLS,PHI,,
14874-8956,D,Michael,Stone,1.909375,64,3600,FLA@ARI,ARI,FLA,,
14874-39990,C,William,Karlsson,0.996825397,63,3600,CLS@PHI,CLS,PHI,,
14874-42983,RW,Joel,Armia,1.278125,32,3600,MON@WPG,WPG,MON,,
14874-13932,RW,Matt,Read,1.629166667,60,3600,CLS@PHI,PHI,CLS,,
14874-8295,C,Antoine,Vermette,1.644827586,58,3600,FLA@ARI,ARI,FLA,,
14874-23051,LW,Joakim,Nordstrom,1.488888889,54,3600,CAR@TB,CAR,TB,,
14874-12288,RW,Tommy,Wingels,1.302678571,56,3600,VAN@SJ,SJ,VAN,IR,
14874-15349,D,Joe,Morrow,1.066666667,27,3500,WAS@BOS,BOS,WAS,,
14874-38947,D,Andrej,Sustr,0.93442623,61,3500,CAR@TB,TB,CAR,DTD,
14874-12896,D,Dylan,Olsen,0.6375,8,3500,FLA@ARI,FLA,ARI,,
14874-12120,D,Matt,Bartkowski,0.947540984,61,3500,VAN@SJ,VAN,SJ,,
14874-12613,D,Radko,Gudas,1.292982456,57,3500,CLS@PHI,PHI,CLS,,
14874-8255,C,Dave,Bolland,0.996,25,3500,FLA@ARI,FLA,ARI,IR,
14874-42478,C,Bo,Horvat,1.346031746,63,3500,VAN@SJ,VAN,SJ,,
14874-61860,D,Ben,Hutton,1.194642857,56,3500,VAN@SJ,VAN,SJ,,
14874-62783,RW,Joonas,Donskoi,1.794827586,58,3500,VAN@SJ,SJ,VAN,,
14874-37880,LW,Scott,Laughton,1.295,60,3500,CLS@PHI,PHI,CLS,,
14874-15307,C,Nick,Cousins,1.561111111,18,3400,CLS@PHI,PHI,CLS,,
14874-64103,RW,Sergei,Plotnikov,0.591176471,34,3400,FLA@ARI,ARI,FLA,,
14874-14149,RW,Jimmy,Hayes,1.942063492,63,3400,WAS@BOS,BOS,WAS,,
14874-39234,LW,Matthew,Nieto,1.091803279,61,3400,VAN@SJ,SJ,VAN,,
14874-39252,LW,Brock,McGinn,0.525,20,3400,CAR@TB,CAR,TB,,
14874-11410,D,Justin,Braun,1.583606557,61,3400,VAN@SJ,SJ,VAN,,
14874-12643,LW,Emerson,Etem,1.124358974,39,3400,VAN@SJ,VAN,SJ,,
14874-66680,D,Jaccob,Slavin,1.4,46,3400,CAR@TB,CAR,TB,,
14874-8167,D,Ron,Hainsey,1.148461538,65,3400,CAR@TB,CAR,TB,,
14874-8299,LW,R.J.,Umberger,1.175,38,3400,CLS@PHI,PHI,CLS,,
14874-8305,LW,Derek,Dorsett,1.387704918,61,3400,VAN@SJ,VAN,SJ,,
14874-39676,LW,Cedric,Paquette,1.2075,40,3400,CAR@TB,TB,CAR,,
